Spell,Description
Reaving Wind,Reduces TP for enemies within range.
Actinic Burst,Greatly lowers the accuracy of enemies within range for a brief period of time.
Maelstrom,Deals water damage to enemies within range. Additional effect: STR Down.
Mortal Ray,Inflicts Doom upon an enemy.
Head Butt,"Damage varies with TP. Additional effect: ""Stun."""
Healing Breeze,Restores HP for party members within area of effect.
Warm-Up,Enhances accuracy and evasion.
Scouring Spate,Deals water damage to enemies within range. Additional effect: Weakens attacks.
Entomb,Deals earth damage to enemies within range. Additional effect: Petrification
Bludgeon,Delivers a threefold attack. Accuracy varies with TP.
Animating Wail,Increases attack speed.
Body Slam,Delivers an area attack. Damage varies with TP.
Venom Shell,Poisons enemies within range and gradually reduces their HP.
Empty Thrash,Delivers an area attack. Accuracy varies with TP.
Crashing Thunder,Deals lightning damage to enemies within range.
Smite of Rage,Damage varies with TP.
Spectral Floe,Deals ice damage to enemies within range. Additional effect: Terror
Hecatomb Wave,Deals wind damage to enemies within a fan-shaped area originating from the caster. Additional effect: Blindness.
Barrier Tusk,Reduces the amount of damage you take.
Feather Tickle,Reduces an enemy's TP.
Mysterious Light,Deals wind damage to enemies within range. Additional effect: Weight.
Restoral,Restores the caster’s HP.
Subduction,Deals wind damage to enemies within range. Additional effect: Weight.
Gates of Hades,Deals fire damage to enemies within area of effect. Additional effect: Burn.
Diffusion Ray,Deals light damage to enemies within a fan-shaped area originating from caster.
Anvil Lightning,Deals lightning damage to enemies within range. Additional effect: Stun
Magic Hammer,Steals an amount of enemy's MP equal to damage dealt. Ineffective against undead.
Heavy Strike,Damage varies with TP.
Sub-zero Smash,Additional Effect: Paralysis. Damage varies with TP.
Blistering Roar,Enemies within an area of effect are frozen with fear.
Magic Fruit,Restores HP for the target party member.
Rail Cannon,Deals light damage to an enemy.
Mind Blast,Deals lightning damage to an enemy. Additional effect: Paralysis.
Tail Slap,"Delivers an area attack. Additional effect: ""Stun."" Damage varies with TP."
Firespit,Deals fire damage to an enemy.
Thrashing Assault,Delivers a fivefold attack. Damage varies with TP.
Spinal Cleave,Accuracy varies with TP.
Metallic Body,Absorbs a certain amount of damage from physical and magical attacks.
Triumphant Roar,Enhances Attack.
Seedspray,Delivers a threefold attack. Additional effect: Weakens defense. Chance of effect varies with TP.
Nectarous Deluge,Deals water damage to enemies within range. Additional effect: Poison.
Mandibular Bite,Damage varies with TP.
Nature's Meditation,Enhances Attack.
Quadratic Continuum,Delivers a fourfold attack. Damage varies with TP.
Cold Wave,Deals ice damage that lowers Agility and gradually reduces HP of enemies within range.
Amorphic Spikes,Delivers a fivefold attack. Damage varies with TP.
Cimicine Discharge,Reduces the attack speed of enemies within range.
Regeneration,Gradually restores HP.
Searing Tempest,Deals fire damage to enemies within range. Additional effect: Burn
Grand Slam,Delivers an area attack. Damage varies with TP.
White Wind,Restores HP of all party members within the area of effect.
Whirl of Rage,Delivers an area attack that stuns enemies. Damage varies with TP.
Claw Cyclone,Damages enemies within area of effect with a twofold attack. Damage varies with TP.
Diamondhide,"Gives party members within area of effect the effect of ""Stoneskin."""
Auroral Drape,Silences and blinds enemies within range.
Temporal Shift,Enemies within range are temporarily prevented from acting.
Soporific,Puts all enemies within range to sleep.
Reactor Cool,Enhances defense and covers you with magical ice spikes. Enemies that hit you take ice damage.
Amplification,Enhances magic attack and magic defense.
Vertical Cleave,Damage varies with TP.
Feather Storm,Additional effect: Poison. Chance of effect varies with TP.
Droning Whirlwind,Deals Wind damage to enemies within area of effect. Additional effect: Dispel.
Silent Storm,Deals wind damage to enemies within range. Additional effect: Silence
Blood Saber,Steals HP from enemies within range. Ineffective against undead.
Death Scissors,Damage varies with TP.
Battle Dance,Delivers an area attack. Additional effect: DEX Down. Duration of effect varies with TP.
Foul Waters,Deals water damage to enemies in a fan-shaped area originating from the caster. Additional effect: Drown
Tearing Gust,
Heat Breath,Deals fire damage to enemies within a fan-shaped area originating from the caster.
Flying Hip Press,Deals wind damage to enemies within range.
Zephyr Mantle,Creates shadow images that each absorb a single attack directed at you.
Charged Whisker,Deals lightning damage to enemies within area of effect.
Wild Oats,Additional effect: Vitality Down. Duration of effect varies with TP.
Filamented Hold,Reduces the attack speed of enemies within a fan-shaped area originating from the caster.
Sprout Smack,Additional effect: Slow. Duration of effect varies with TP.
Ice Break,"Deals ice damage to enemies within range. Additional Effect: ""Bind."""
Hydro Shot,Additional effect: Enmity Down. Chance of effect varies with TP.
Fantod,Enhances attack and magic attack.
Power Attack,Deals critical damage. Chance of critical varies with TP.
Refueling,Increases attack speed.
Feather Barrier,Enhances evasion.
Wild Carrot,Restores HP for the target party member.
Barbed Crescent,Damage varies with TP. Additional effect: Accuracy Down.
Foot Kick,Deals critical damage. Chance of critical hit varies with TP.
Atra. Libations,Steals HP from enemies within range. Ineffective against undead.
Memento Mori,Enhances magic attack
Cruel Joke,Inflicts doom on enemies within range
Frypan,"Delivers an area attack. Additional effect: ""Stun."" Accuracy varies with TP."
Pinecone Bomb,Additional effect: sleep. Duration of effect varies with TP.
Stinking Gas,Lowers Vitality of enemies within range.
Blank Gaze,Removes one beneficial magic effect from an enemy.
Thunder Breath,Deals thunder breath damage to enemies within a fan-shaped area originating from the caster.
